RegionID,SizeRank,RegionName,RegionType,State Name,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021,31-01-2022,28-02-2022,31-03-2022,30-04-2022,31-05-2022,30-06-2022,31-07-2022,31-08-2022,30-09-2022,31-10-2022,30-11-2022,31-12-2022,31-01-2023,28-02-2023
102001,0,United States,country,New York,234729,234207,234473,235755,236021,237031,237490,240237,242433,244455,245274,245604,246214,247415,249594,251703,252814,253790,255646,258826,260123,257470,254300,257098,264392,273771,279892,284743,286892,287623,289775,293395,300200,305743,310780,313007,315212,316984,320607,324230,327426,328420,332048,338271,347710,354742,357064,353048,346986,342541,340167,337225,333345,330710,332795
394913,1,"New York, NY",msa,California,400482,406813,405321,408189,400653,401251,400481,401526,401342,400462,401278,403094,402305,402866,406374,411322,415527,416792,420805,422761,426472,426872,425290,420657,421101,428785,443576,458474,467761,470836,472594,475079,481817,486385,492911,496916,501045,506791,511825,513097,511418,512368,515360,521054,530125,537891,545087,549466,555500,552533,544761,535498,529224,526850,524991
753899,2,"Los Angeles, CA",msa,Illinois,631221,627703,629348,630360,629040,624917,622078,625107,628946,629121,630219,635459,637823,641731,641417,645090,650275,657054,662247,665491,659038,651706,648343,663249,685913,707933,721216,728222,730758,732652,741335,753396,771123,788016,801517,806102,809278,812807,821186,828432,840208,847042,857350,870064,892278,906159,904577,887685,872257,860612,856439,850125,841313,836302,834469
394463,3,"Chicago, IL",msa,Texas,223460,222736,223705,227892,229588,230791,233712,236695,237151,235590,231850,230852,228320,228841,230987,235289,237687,237424,238928,242193,246413,243896,237749,235090,240609,249954,259561,263619,266596,265467,266445,266896,268271,271314,272662,273295,272748,274596,277126,279757,281268,283132,284736,285887,288511,290458,294727,295412,294206,290340,287317,286508,286886,286801,287842
394514,4,"Dallas, TX",msa,Texas,260029,255107,253359,253794,254173,253363,253777,255353,257809,261580,263659,265849,265639,263528,264996,265534,267109,268201,269948,271150,272902,271496,272061,276261,284569,290083,294647,299953,301221,301338,304844,311052,319049,328560,337050,344734,346818,347735,350384,353929,358471,362604,368221,374949,388726,403021,412283,410735,404812,396729,391754,387579,381147,373730,373471
394692,5,"Houston, TX",msa,Virginia,221261,220314,220647,221497,222813,222781,224023,225643,226920,229043,230282,231415,230927,229880,229573,231029,233249,235057,236538,236514,237139,233792,234772,239618,248026,252456,255696,259117,262935,264228,267233,273480,280242,287151,292178,294898,295285,293385,295814,300954,305675,309748,314033,317913,323519,329663,334946,336186,331087,327676,323451,320770,315618,313666,314235
395209,6,"Washington, DC",msa,Pennsylvania,385320,384478,385934,386588,390482,393576,396659,399813,399887,397937,394714,394335,395111,395894,398957,405723,409272,408448,409374,415942,424526,419866,412593,414082,425054,437966,445195,448341,448334,444782,439760,441045,447586,460254,466019,468397,468006,468193,470177,470804,471968,467323,467089,474509,492248,506438,511253,506830,499493,493281,491571,491624,484976,477776,479100
394974,7,"Philadelphia, PA",msa,Florida,227989,228772,229138,230685,231627,234138,234092,237092,238625,240119,239369,240843,242419,242807,241120,242105,244541,247562,249663,252146,258614,259325,256507,252700,255699,264727,270199,274317,275488,278084,279006,278379,277598,276784,277576,280100,285897,291084,293572,293640,291897,295263,296878,298161,297659,304535,314435,320562,319706,318431,317798,317689,317793,316561,316617
394856,8,"Miami, FL",msa,Georgia,262747,262112,265889,270032,271480,271189,270408,275220,277351,277608,274842,275753,278041,279801,282500,285965,288289,289983,290668,296332,300834,301867,299961,300836,307900,316505,321836,324688,325876,330158,335958,339840,342714,343493,345287,346587,349118,352756,357043,361504,368841,376485,384941,392586,397778,406156,410831,414397,412025,411344,414774,416073,416824,415289,421074
394347,9,"Atlanta, GA",msa,Massachusetts,223219,224929,228333,231025,230609,230022,230708,233380,234049,235795,236590,238145,239333,241185,243930,246773,248560,249826,252012,253816,256401,251652,249066,250468,260688,270676,278345,282034,283406,284583,286866,292285,297790,304531,310976,316576,320394,324949,331777,340426,345104,347154,347977,351089,356072,363981,371452,374770,374517,371648,368126,362906,359232,354752,354442
394404,10,"Boston, MA",msa,Arizona,435761,433076,435241,435170,433614,433821,438653,444925,445551,447923,449119,450493,447843,448517,451618,452778,456118,458799,466081,474923,485773,485789,479606,476288,485740,503508,512650,514580,513198,513248,521940,529771,542692,552137,561887,565305,565552,561520,562392,566925,571450,571512,571469,580729,598989,615169,627456,628331,623987,615164,610354,609273,601344,592909,584068
394976,11,"Phoenix, AZ",msa,California,264611,265461,265352,266325,267162,268141,268810,269247,270451,272341,274063,276291,278803,282084,285446,287367,289315,292330,296826,301748,301929,299557,298920,304231,313426,321690,328258,332668,335279,339948,347029,356349,365253,376216,386052,395661,403076,411253,418000,424343,428899,435243,443442,455689,466919,477273,482762,479904,470790,459699,454528,447149,438551,430075,426498
395057,12,"San Francisco, CA",msa,California,856289,847319,853361,853496,846645,833516,835923,841440,853374,856055,860752,850295,840446,834589,847881,856114,861925,855791,858509,861708,858548,847990,851987,876309,911138,934184,936528,936914,935044,944031,954797,974127,1015752,1055954,1084421,1082587,1074978,1070272,1071516,1068321,1054794,1048699,1061602,1097055,1145536,1179191,1185915,1148061,1093776,1070639,1068019,1074385,1047108,1017640,989139
395025,13,"Riverside, CA",msa,Michigan,351057,353912,353948,354101,351194,351567,351751,353660,354167,356441,359000,361270,363693,366959,370126,371969,371506,372297,373509,376234,375081,374693,377131,385198,396512,408174,417896,424687,429994,433239,438657,445737,456204,465984,475133,483327,491122,495882,501050,505746,515183,523450,530066,537128,546724,556386,560753,554077,547240,539282,536097,525213,518231,511407,514913
394532,14,"Detroit, MI",msa,Washington,177193,173736,172697,172268,174267,174067,175918,178121,180478,183145,183675,185885,184409,185204,184187,185974,185693,186519,186696,190436,197034,195473,193428,193728,199397,205547,206507,210500,210909,210158,207729,209718,214223,220824,223270,225749,225930,227442,226344,226092,226175,228644,232452,233558,234487,236987,242119,246431,244610,240530,238019,236894,235229,228749,227609
395078,15,"Seattle, WA",msa,Minnesota,441207,436538,434771,433820,433946,435639,442828,449533,454494,459586,460000,460077,457116,458140,461946,463533,470594,473887,481266,485890,491762,487425,490434,496979,514336,528821,539794,546745,543823,546747,551557,571370,589602,612275,622969,631600,629806,627893,629192,632413,638060,634791,644171,664637,696890,718189,717713,699697,676540,664429,665784,659905,650995,641422,637816
